Order_ID,Transaction_Date,Client_Name,Product_Name,Location,Sales_Amount
1001,2025-01-01,Arun,Laptop,Chennai,50000
1002,2025-01-02,Divya,Mobile,Bangalore,30000
1003,2025-01-03,Ravi,Tablet,Hyderabad,25000
1004,2025-01-04,Priya,Headphones,Mumbai,
1005,2025-01-05,Karthik,Keyboard,Delhi,3000
1006,2025-01-06,Meena,Mouse,Kolkata,3200
1007,2025-01-07,Suresh,Charger,Chennai,2500
1008,2025-01-08,Anitha,Smartwatch,Bangalore,16000
1009,2025-01-09,John,Power Bank,Hyderabad,900
1010,2025-01-10,Lakshmi,Laptop,Mumbai,60000
1011,2025-01-11,Vikram,Mobile,Delhi,28000
1012,2025-01-12,Nisha,Tablet,Kolkata,27000
1013,2025-01-13,Ajay,Headphones,Chennai,7000
1014,2025-01-14,Sneha,Keyboard,Bangalore,3500
1015,2025-01-15,Rahul,Mouse,Hyderabad,4000
1016,2025-01-16,Kiran,Charger,Mumbai,2000
1017,2025-01-17,Pooja,Smartwatch,Delhi,18000
1018,2025-01-18,Manoj,Power Bank,Kolkata,
1019,2025-01-19,Ritu,Laptop,Chennai,52000
1020,2025-01-20,Deepak,Mobile,Bangalore,310
1021,2025-01-21,Asha,Tablet,Hyderabad,26000
1022,2025-01-22,Ramesh,Keyboard,Mumbai,3200
1023,2025-01-23,Kavya,Mouse,Delhi,120000000
1024,2025-01-24,Varun,Laptop,Kolkata,61000
1025,2025-01-25,Neha,Mobile,Chennai,29000
1026,2025-01-26,Sanjay,Charger,Bangalore,2200
1027,2025-01-27,Tina,Headphones,Hyderabad,7500
1028,2025-01-28,Arvind,Tablet,Mumbai,24000
1029,2025-01-29,Priya,Smartwatch,Delhi,17000
1030,2025-01-30,Karthik,Power Bank,Kolkata,4800
